"altitude";"co_a";"co_w";"pt";"gps_fix";"heading";"humidity";"latitude";"lonet_bat";"longitude";"no2_a";"no2_w";"pm1";"pm10";"pm2_5";"w_pm1";"w_pm10";"w_pm2_5";"sample_flow_rate";"sampling_period";"speed";"temp";"date";"retries";"last_organicity_sync";"timestamp";"id";"m_co";"m_no2"
0;272.4;238.5;0;0;0;18.4;0;0;0;335.2;268.4;15.414;18.771;18.688;9;14;13;3.734;63.04;0;28.7;19800106011813;0;"";"2017-02-09 22:26:12.898291+00";25;506.0806;514.94507
0;269.2;191.8;0;0;0;16.7;0;0;0;290.1;2378.9;18.213;22.406;22.24;22;32;29;3.219;64.862;0;33.7;19800106013448;0;"";"2017-02-09 22:25:52.492272+00";26;622.93048;613.26007
0;274;239.3;0;0;0;18.3;0;0;0;333.6;268.4;15.385;18.798;18.721;9;14;13;3.768;65.074;0;28.7;19800106011709;0;"";"2017-02-09 22:25:09.713762+00";25;506.88647;514.13922
0;267.5;203.9;0;0;0;19;0;0;0;316.7;263.5;14.719;18.19;18.102;9;14;13;3.545;64.865;0;28.2;19800106012404;0;"";"2017-02-09 22:25:07.963683+00";24;616.48352;617.28937
0;272.4;198.2;0;0;0;16.7;0;0;0;292.5;2387;17.4;21.205;21.095;23;34;30;3.366;64.865;0;33.8;19800106013343;0;"";"2017-02-09 22:24:47.552892+00";26;614.06592;620.51288
0;275.6;235.3;0;0;0;18.3;0;0;0;333.6;270;14.824;18.062;17.962;9;13;12;3.839;65.073;0;28.8;19800106011604;0;"";"2017-02-09 22:24:05.359366+00";25;517.36267;509.30405
0;266.7;201.5;0;0;0;18.9;0;0;0;316.7;265.9;15.054;18.716;18.63;7;11;10;3.566;64.863;0;28.2;19800106012259;0;"";"2017-02-09 22:24:02.93833+00";24;618.90118;617.28937
0;270.8;195.8;0;0;0;16.6;0;0;0;298.2;2383.7;17.161;20.971;20.882;22;32;29;3.369;64.862;0;33.9;19800106013238;0;"";"2017-02-09 22:23:43.42741+00";26;604.39563;603.58978
0;274;236.1;0;0;0;18.3;0;0;0;329.6;268.4;15.415;18.765;18.697;7;11;10;3.784;65.073;0;28.9;19800106011459;0;"";"2017-02-09 22:22:59.287648+00";25;512.52747;522.19781
0;267.5;201.5;0;0;0;18.9;0;0;0;315.9;269.2;14.71;18.359;18.201;8;12;11;3.609;64.863;0;28.2;19800106012154;0;"";"2017-02-09 22:22:58.902313+00";24;619.70703;619.70703
0;272.4;194.2;0;0;0;16.5;0;0;0;289.3;2387;17.131;21.034;20.905;26;39;35;3.375;64.861;0;34;19800106013133;0;"";"2017-02-09 22:22:37.239875+00";26;609.23077;604.39563
0;274;235.3;0;0;0;18.3;0;0;0;328.8;268.4;15.346;18.929;18.641;9;14;13;3.873;65.077;0;29;19800106011353;0;"";"2017-02-09 22:21:53.782394+00";25;513.33337;523.00366
0;268.4;202.3;0;0;0;18.9;0;0;0;319.9;269.2;14.53;18.081;17.994;7;11;10;3.699;64.867;0;28.3;19800106012049;0;"";"2017-02-09 22:21:52.758589+00";24;621.31873;621.31873
0;270;195;0;0;0;16.5;0;0;0;294.1;2382.1;17.057;20.954;20.817;28;41;37;3.386;64.861;0;34.2;19800106013028;0;"";"2017-02-09 22:21:32.24119+00";26;604.39563;614.06592
0;269.2;241;0;0;0;18.2;0;0;0;336;268.4;14.918;18.21;18.118;8;12;11;3.851;63.044;0;29;19800106011248;0;"";"2017-02-09 22:20:48.568625+00";25;514.13922;518.97437
0;269.2;204.7;0;0;0;18.9;0;0;0;319.9;263.5;14.191;17.635;17.549;6;10;9;3.698;64.863;0;28.3;19800106011944;0;"";"2017-02-09 22:20:47.718929+00";24;621.31873;622.93048
0;270.8;201.5;0;0;0;16.4;0;0;0;293.3;2382.9;16.974;20.691;20.599;29;44;39;3.41;64.857;0;34.2;19800106012923;0;"";"2017-02-09 22:20:27.183108+00";26;613.26007;607.61908
0;274;234.5;0;0;0;18.2;0;0;0;329.6;265.9;15.221;18.568;18.484;8;12;11;3.809;63.042;0;29;19800106011145;0;"";"2017-02-09 22:19:45.286468+00";25;515.75092;518.97437
0;265.1;200.7;0;0;0;18.9;0;0;0;315.9;265.9;14.19;17.634;17.561;6;10;9;3.695;64.863;0;28.4;19800106011839;0;"";"2017-02-09 22:19:42.749368+00";24;623.73633;625.34802
0;276.4;193.4;0;0;0;16.4;0;0;0;290.1;2378.9;16.681;20.293;20.213;29;44;39;3.457;64.857;0;34.3;19800106012818;0;"";"2017-02-09 22:19:22.108137+00";26;611.64838;612.45422
0;270.8;239.3;0;0;0;18.2;0;0;0;332.8;270.8;14.007;17.12;17.048;9;13;12;3.924;63.037;0;29.1;19800106011042;0;"";"2017-02-09 22:18:43.180608+00";25;518.97437;525.42126
0;265.9;202.3;0;0;0;18.8;0;0;0;320.7;265.9;14.053;17.399;17.314;8;12;11;3.69;64.868;0;28.4;19800106011734;0;"";"2017-02-09 22:18:37.588023+00";24;623.73633;624.54218
0;272.4;195.8;0;0;0;16.3;0;0;0;287.7;2377.3;16.457;20.027;19.942;28;41;37;3.392;64.865;0;34.4;19800106012713;0;"";"2017-02-09 22:18:19.136324+00";26;614.87183;609.23077
0;273.2;236.1;0;0;0;18.2;0;0;0;333.6;270.8;15.451;18.906;18.796;8;12;11;3.753;65.08;0;29.1;19800106010938;0;"";"2017-02-09 22:17:38.864314+00";25;527.03296;518.16852
0;263.5;198.2;0;0;0;18.8;0;0;0;319.1;268.4;13.803;17.163;17.078;6;10;9;3.68;64.868;0;28.4;19800106011629;0;"";"2017-02-09 22:17:33.482501+00";24;626.95978;623.73633
0;274;197.4;0;0;0;16.2;0;0;0;292.5;2382.9;16.402;20.156;20.034;25;37;33;3.422;64.865;0;34.5;19800106012608;0;"";"2017-02-09 22:17:12.121305+00";26;617.28937;619.70703
0;271.6;236.1;0;0;0;18.1;0;0;0;332.8;267.5;14.335;17.481;17.388;9;13;12;3.808;63.045;0;29.1;19800106010833;0;"";"2017-02-09 22:16:33.702282+00";25;529.45056;531.86816
0;265.9;206.3;0;0;0;18.8;0;0;0;320.7;264.3;13.909;17.482;17.34;6;10;9;3.661;64.862;0;28.4;19800106011524;0;"";"2017-02-09 22:16:27.529048+00";24;628.57147;628.57147
0;269.2;195.8;0;0;0;16.2;0;0;0;288.5;2382.1;16.714;20.399;20.307;28;41;37;3.325;64.864;0;34.5;19800106012503;0;"";"2017-02-09 22:16:06.895901+00";26;616.48352;625.34802
